question_id,subject,topic,question_text,question_type,cognitive_level,avg_score,std_dev,discrimination_index,difficulty_label
Q1,Mathematics,Algebra,Apply the theory of Algebra in practical scenarios.,Short Answer,Remember,6.99,1.43,0.61,Medium
Q2,Mathematics,Algebra,Solve a problem related to Algebra in Mathematics.,Numerical,Remember,3.78,1.66,-0.03,Hard
Q3,Chemistry,Organic,Evaluate the impact of Organic in Chemistry.,Short Answer,Analyze,9.16,1.88,-0.18,Easy
Q4,Biology,Cell Biology,Solve a problem related to Cell Biology in Biology.,Numerical,Understand,4.84,1.24,0.0,Medium
Q5,Physics,Mechanics,Analyze the principles of Mechanics in Physics.,MCQ,Apply,6.48,0.54,0.28,Medium
Q6,Biology,Cell Biology,Apply the theory of Cell Biology in practical scenarios.,Short Answer,Analyze,7.63,0.74,-0.05,Easy
Q7,Biology,Ecology,Analyze the principles of Ecology in Biology.,Long Answer,Analyze,4.18,0.79,0.3,Medium
Q8,Computer Science,Operating Systems,Analyze the principles of Operating Systems in Computer Science.,MCQ,Evaluate,4.74,1.8,0.37,Medium
Q9,Mathematics,Algebra,Apply the theory of Algebra in practical scenarios.,Long Answer,Remember,4.91,1.56,0.47,Medium
Q10,Computer Science,DBMS,Solve a problem related to DBMS in Computer Science.,Numerical,Apply,4.8,1.97,-0.09,Medium
Q11,Chemistry,Physical,Apply the theory of Physical in practical scenarios.,Long Answer,Apply,4.8,2.43,-0.07,Medium
Q12,Computer Science,DBMS,Explain the concept of DBMS in Computer Science.,Long Answer,Remember,4.93,1.5,0.8,Medium
Q13,Computer Science,Operating Systems,Evaluate the impact of Operating Systems in Computer Science.,Long Answer,Understand,7.65,0.89,0.14,Easy
Q14,Chemistry,Inorganic,Apply the theory of Inorganic in practical scenarios.,Numerical,Understand,10.0,2.1,0.0,Easy
Q15,Computer Science,DBMS,Solve a problem related to DBMS in Computer Science.,MCQ,Evaluate,7.48,1.59,-0.1,Easy
Q16,Physics,Electromagnetism,Solve a problem related to Electromagnetism in Physics.,Long Answer,Analyze,3.98,0.71,0.1,Hard
Q17,Physics,Electromagnetism,Apply the theory of Electromagnetism in practical scenarios.,Long Answer,Analyze,5.08,2.03,0.11,Medium
Q18,Mathematics,Probability,Analyze the principles of Probability in Mathematics.,Long Answer,Analyze,3.74,1.57,0.68,Hard
Q19,Biology,Evolution,Evaluate the impact of Evolution in Biology.,Short Answer,Apply,4.65,1.81,-0.19,Medium
